TIME,DEPTH
55.4967,249.534
55.5067,249.534
55.5167,249.534
55.5267,249.534
55.5367,249.534
55.5467,249.533
55.5567,249.533
55.5667,249.533
55.5767,249.533
55.5867,249.533
55.5967,249.533
55.6067,249.533
55.6167,249.533
55.6267,249.533
55.6367,249.533
55.6467,249.533
55.6567,249.533
55.6667,249.533
55.6767,249.533
55.6867,249.533
55.6967,249.533
55.7067,249.533
55.7167,249.533
55.7267,249.533
55.7367,249.533
55.7467,249.533
55.7566,249.533
55.7666,249.533
55.7766,249.533
55.7866,249.533
55.7966,249.533
55.8066,249.533
55.8166,249.533
55.8266,249.533
55.8366,249.533
55.8466,249.533
55.8566,249.533
55.8666,249.533
55.8766,249.533
55.8866,249.533
55.8966,249.533
55.9066,249.533
55.9166,249.533
55.9266,249.533
55.9366,249.533
55.9466,249.532
55.9566,249.532
55.9666,249.532
55.9766,249.532
55.9866,249.532
55.9966,249.532
56.0066,249.532
56.0166,249.532
56.0266,249.532
56.0366,249.532
56.0466,249.532
56.0566,249.532
56.0666,249.532
56.0766,249.532
56.0866,249.532
56.0966,249.532
56.1066,249.532
56.1166,249.532
56.1266,249.532
56.1366,249.532
56.1466,249.532
56.1566,249.532
56.1666,249.532
56.1766,249.532
56.1866,249.532
56.1966,249.532
56.2066,249.532
56.2166,249.532
56.2266,249.532
56.2366,249.532
56.2466,249.532
56.2566,249.532
56.2666,249.532
56.2766,249.532
56.2866,249.532
56.2966,249.532
56.3066,249.532
56.3166,249.532
56.3266,249.532
56.3366,249.532
56.3465,249.531
56.3565,249.531
56.3665,249.531
56.3765,249.531
56.3865,249.531
56.3965,249.531
56.4065,249.531
56.4165,249.531
56.4265,249.531
56.4365,249.531
56.4465,249.531
56.4565,249.531
56.4665,249.531
56.4765,249.531
56.4865,249.531
56.4965,249.531
56.5065,249.531
56.5165,249.531
56.5265,249.531
56.5365,249.531
56.5465,249.531
56.5565,249.531
56.5665,249.531
56.5765,249.531
56.5865,249.531
56.5965,249.531
56.6065,249.531
56.6165,249.531
56.6265,249.531
56.6365,249.531
56.6465,249.531
56.6565,249.531
56.6665,249.531
56.6765,249.531
56.6865,249.531
56.6965,249.531
56.7065,249.531
56.7165,249.531
56.7265,249.531
56.7365,249.531
56.7465,249.531
56.7565,249.531
56.7665,249.531
56.7765,249.531
56.7865,249.531
56.7965,249.531
56.8065,249.531
56.8165,249.531
56.8265,249.531
56.8365,249.531
56.8465,249.53
56.8565,249.53
56.8665,249.53
56.8765,249.53
56.8865,249.53
56.8965,249.53
56.9065,249.53
56.9165,249.53
56.9265,249.53
56.9365,249.53
56.9464,249.53
56.9564,249.53
56.9664,249.53
56.9764,249.53
56.9864,249.53
56.9964,249.53
57.0064,249.53
57.0164,249.53
57.0264,249.53
57.0364,249.53
57.0464,249.53
57.0564,249.53
57.0664,249.53
57.0764,249.53
57.0864,249.53
57.0964,249.53
57.1064,249.53
57.1164,249.53
57.1264,249.53
57.1364,249.53
57.1464,249.53
57.1564,249.53
57.1664,249.53
57.1764,249.53
57.1864,249.53
